edgeid	co2 (g)	co (g)	nox (g)	vocs (g)	pm10 (g)	pm25 (g)	ghg_cost (€/veh)	nox_cost (€/veh)	noise_cost (€/veh)	tc_cost (€/veh)	rc_cost (€/veh)	emissions_indicator (€/veh)	eco_indicator (€/veh)	totalvehicles	totalrouting	speed (km/h)	ttime (s)	length (km)
482331424#2	18213.7066505554	115.317590050522	54.5295501262479	21.8460176157954	5.04869595496618	3.53562091651568	0.00264989684433311	0	0	0.2179	0	0.00264989684433311	0.220549896844333	448	0	41.868	18.7360275150473	0.2179
482331424#3	2320.41989117174	12.8295276974445	7.29423994314114	2.55240544870635	0.643155740255123	0.507660289459159	0.000337653660722897	0	0	0.048792	0	0.000337653660722897	0.0491296536607229	445	0	22.86	3.20157480314961	0.02033
482331424#4	10825.0416901957	64.5875577343524	32.3206298334716	11.5984581203706	2.46523532443923	2.00758335636926	0.00163689678327252	0	0	0.163416	0	0.00163689678327252	0.165052896783273	445	0	8.568	28.609243697479	0.06809
482331424#5	1793.16879092477	10.371055888476	5.47328059767636	1.9344438983108	0.441370515097974	0.357521562313556	0.00027372424520629	0	0	0.03084	0	0.00027372424520629	0.0311137242452063	435	0	13.104	3.53021978021978	0.01285
482331424#6	295.654914494978	1.831543577028	0.89668864842044	0.351431038855022	0.0828938416889014	0.0587430480786651	0.000290688740571437	0	0	0.056856	0	0.000290688740571437	0.0571466887405714	66	0	40.536	2.10390763765542	0.02369
482331424#7	247.237534840523	1.651228099587	0.712400002430724	0.303000272661303	0.0664214106102305	0.0452302192821527	0.000247156946369287	0	0	0.04932	0	0.000247156946369287	0.0495671569463693	66	0	44.82	1.65060240963855	0.02055
482331424#8	903.588435538483	6.32034719712	2.49699024340974	1.12796596495165	0.235525552280004	0.156635374992488	0.000914071935178176	0	0	0	0	0.000914071935178176	0.000914071935178176	66	0	47.16	5.80152671755725	0.076
482331424#9	142.285754459649	1.00110386448864	0.390852530710407	0.178033488633821	0.0369388009158901	0.0244929606574106	0.000144164712306162	0	0	0.028752	0	0.000144164712306162	0.0288961647123062	66	0	47.448	0.908952959028832	0.01198
482561803#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001
482564821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05527
482564822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00941
483715766#0	8002.72335843878	53.4478783377252	23.0593633110023	9.80768296854291	2.14996551609292	1.46403713574507	0.00135040301403132	0	0	0.269472	0	0.00135040301403132	0.270822403014031	391	156	44.82	9.01847389558233	0.11228
483715766#1	2083.71388550035	14.1314829682925	5.92720977337546	2.56933462471829	0.554381382861034	0.374547525756578	0.000410728299798061	0	0	0.082032	0	0.000410728299798061	0.0824427282997981	336	156	45.612	2.69771112865036	0.03418
