edgeid	co2 (g)	co (g)	nox (g)	vocs (g)	pm10 (g)	pm25 (g)	ghg_cost (€/veh)	nox_cost (€/veh)	noise_cost (€/veh)	tc_cost (€/veh)	rc_cost (€/veh)	emissions_indicator (€/veh)	eco_indicator (€/veh)	totalvehicles	totalrouting	speed (km/h)	ttime (s)	length (km)
14328446#8	343.536225135021	2.11743063319788	1.04482600185632	0.407478139990916	0.0965608364832348	0.0686203734895655	7.78701268407437e-05	0	0	0.015192	0	7.78701268407437e-05	0.0152698701268407	286	133	40.212	0.566696508504924	0.00633
14328446#9	58.4908700568902	0.358539094302	0.178419984928745	0.0692162462347719	0.0164845152881762	0.0117507444827797	1.23385755666278e-05	0	0	0.0024	0	1.23385755666278e-05	0.00241233857556663	307	133	39.852	0.0903342366757001	0.001
14328611	508.373815459984	2.8797536847186	1.57222502860771	0.551706386765544	0.131590769125033	0.105854271396751	0.000306666997067898	3.17164631015581e-05	0.00731955091952578	0.037872	0	0.000338383460169456	0.0455299343796952	109	0	16.596	3.42299349240781	0.01578
14329124#0	817.080389481449	5.70690211435344	2.26123907787081	1.01938293255366	0.21318881415524	0.141885727500114	0.000236067531917736	0	0	0.047112	0	0.000236067531917736	0.0473480675319177	231	0	47.088	1.50076452599388	0.01963
14329124#1	2360.73285036019	16.39280549214	6.57081132080242	2.93840982830472	0.618384044230445	0.412780210907655	0.00068099620952616	0	0	0.13596	0	0.00068099620952616	0.136640996209526	231	0	46.8	4.35769230769231	0.05665
14329124#2	409.58039224458	2.856545052816	1.13514456126237	0.510692363981159	0.10697180642933	0.0712468633746903	0.000118802421249215	0	0	0.023712	0	0.000118802421249215	0.0238308024212492	230	0	47.016	0.756508422664625	0.00988
14333321#0	24.0867960649117	0.1346332179744	0.0761059235881794	0.027192789080246	0.00695882257239426	0.00528917421564982	0.000154366929544109	0	0	0	0	0.000154366929544109	0.000154366929544109	10	0	30.852	1.28821470245041	0.01104
14333321#1	326.791108128609	1.85689699638	1.02861268180408	0.372970109814091	0.0945184984513889	0.0707514415482326	0.00209456246209955	0	0	0	0	0.00209456246209955	0.00209456246209955	10	0	33.336	16.8930885529158	0.15643
14333321#2	185.11286326584	1.0527681221442	0.582520391716378	0.211378672193504	0.0535359979725525	0.040045910518776	0.00118653601883393	0	0	0	0	0.00118653601883393	0.00118653601883393	10	0	33.444	9.55543595263725	0.08877
14333465#1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14897
14333465#2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01108
14333474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13913
14333500#0	66.8338022469548	0.3685292474304	0.210874609495982	0.0740014954355236	0.0188659323259376	0.0147478730054169	0.000615458751124966	0	0	0	0	0.000615458751124966	0.000615458751124966	7	0	25.272	5.58404558404558	0.0392
14333500#1	14.211886684055	0.0786777300204	0.0449417780964114	0.0158978106689409	0.00407877204817667	0.00314120915812193	0.000130322869462696	0	0	0	0	0.000130322869462696	0.000130322869462696	7	0	28.44	1.1253164556962	0.00889
14333500#2	1.9538189940416	0.01093485372	0.00608833902412473	0.0021306217668736	0.000521453668271424	0.000416757116746477	1.8232899050544e-05	0	0	0.0024	0	1.8232899050544e-05	0.00241823289905054	7	0	19.08	0.188679245283019	0.001
14333500#3	2.57470903845478	0.015498479472	0.00763324129581833	0.00275387599021804	0.000572824309848097	0.000466821293440934	2.48397575081626e-05	0	0	0.0024	0	2.48397575081626e-05	0.00242483975750816	7	0	7.344	0.490196078431372	0.001
14333500#4	2.62589034334726	0.01590237663	0.00774551348371167	0.00280536128766907	0.000574730142218055	0.000468521016113535	2.53952312395258e-05	0	0	0.0024	0	2.53952312395258e-05	0.00242539523123953	7	0	6.516	0.552486187845304	0.001
14333733#0	66.2082125056607	0.3707978587617	0.209121965006832	0.0748568462582452	0.019138052672957	0.0145156463822082	0.000848542588891285	0	0	0	0	0.000848542588891285	0.000848542588891285	5	0	31.212	7.04613610149942	0.06109
14333733#1	59.1915559095157	0.3308513771418	0.187024792295952	0.0668243086727422	0.0171008022091536	0.0129977623614655	0.000758691086690521	0	0	0	0	0.000758691086690521	0.000758691086690521	5	0	30.852	6.33138856476079	0.05426
14333733#2	9.65311452833862	0.0541066739865	0.0304850381494352	0.010920659082465	0.00279080925638219	0.00211494418284669	0.000123713323647252	0	0	0	0	0.000123713323647252	0.000123713323647252	5	0	31.356	1.02525832376579	0.00893
14333954#0	467.932926708365	2.6107510487076	1.47892939972369	0.527505052052697	0.135100954824974	0.102898268178659	0.000499881686461697	0	0	0.03551	0	0.000499881686461697	0.0360098816864617	60	0	30.492	4.19244391971665	0.03551
14333954#1	1309.21207671417	7.2364646128608	4.13933727721553	1.46122589125024	0.374735232316041	0.289541200479993	0.00140159241199536	0	0	0	0	0.00140159241199536	0.00140159241199536	60	0	27.792	12.2189119170984	0.09433
14333954#2	1770.48224593101	10.0053282703872	5.58095032756029	2.01398590151771	0.512225088155845	0.385196588488572	0.00177269924213466	0	0	0	0	0.00177269924213466	0.00177269924213466	64	0	32.616	14.439293598234	0.13082
14333954#3	1243.61192928588	6.98101444714752	3.92620712665628	1.40841128874337	0.359634620296596	0.272130208915013	0.00102162941479583	0	0	0	0	0.00102162941479583	0.00102162941479583	78	0	31.608	8.4373576309795	0.07408
14333954#4	453.238639821321	2.64362377135176	1.41422704812368	0.524481613071862	0.130343847528337	0.0957374881277219	0.00100420340739306	0	0	0	0	0.00100420340739306	0.00100420340739306	29	0	36.072	7.7934131736527	0.07809
14333954#5	83.6306985197442	0.4872151156152	0.261068085572029	0.0967199238260419	0.0240596094931814	0.0176857525042629	0.00019188304083865	0	0	0.0149	0	0.00019188304083865	0.0150918830408387	28	0	35.964	1.49149149149149	0.0149
14333954#6	362.634252673962	2.2707553862028	1.03524474062487	0.38499769718677	0.0719556201987041	0.0586041029852635	0.0008883505390267	0	0	0	0	0.0008883505390267	0.0008883505390267	28	0	1.98	56.3818181818182	0.03101
14333980	649.131063802285	3.69830544468	2.0416584186662	0.741997412193241	0.187694825524905	0.140199876189929	0.00166450155497489	0.000178952658064807	0.0440182648401826	0	0	0.0018434542130397	0.0458617190532223	25	0	33.66	13.3647058823529	0.12496
14334161#0	355.060764775475	1.9578408611328	1.12075691743606	0.393559401846924	0.100459395555772	0.0784081107570801	0.000285929503246008	0	0	0.044064	0	0.000285929503246008	0.044349929503246	80	50	25.632	2.57865168539326	0.01836
14334161#1	320.420045167669	1.8659646051648	1.00039635349257	0.370497965314498	0.0921922642799922	0.0677865604488821	0.000257298769364767	0	0	0.047928	0	0.000257298769364767	0.0481852987693648	80	50	35.928	2.00100200400802	0.01997
14334161#2	618.402565881885	3.65122250304	1.92020702043559	0.719766334056138	0.177106226501987	0.129069859638865	0.000497492708507784	0	0	0.0392	0	0.000497492708507784	0.0396974927085078	80	50	37.116	3.80213385063046	0.0392
