link	cost_co2	cost_co	cost_nox	cost_vocs	cost_pm10	cost_pm25	cost_ghg	cost_nox	cost_noise	cost_tc	cost_rc	cost_emissions_indicator	cost_eco_indicator	totalvehicles	totalrouting	avgspeed	ttime	length
-128363658#3	1457.43237935998	9.982805021082	4.10917636082276	1.80421689594606	0.385258394977595	0.258965921279492	0.00312164518930629	0	0	0	0	0.00312164518930629	0.00312164518930629	31	11	12.81	20.2810304449649	259.8
-128363658#4	357.630091765084	2.16459838113372	1.09799804996154	0.420907235371291	0.101385673671764	0.0727956552151059	0.000745415088237208	0	0	0	0	0.000745415088237208	0.000745415088237208	31	11	10.83	5.53462603878116	59.94
-128363658#5	460.042124826542	2.6034657076344	1.42360019629716	0.499420407651702	0.119362274203347	0.0959765275031503	0.00097528981001854	0	0	0	0	0.00097528981001854	0.00097528981001854	31	11	4.66	10.8197424892704	50.42
-128823190#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
-128825640#0	189.500278446767	1.0488783781728	0.59924316826563	0.211926306222638	0.0543708750795786	0.0418883975439742	0.00060824355465207	0	0	0	0	0.00060824355465207	0.00060824355465207	20	0	7.88	5.25761421319797	41.43
-128825640#1	474.206621382282	2.6711429305512	1.49598181506215	0.538303759359653	0.137182904154268	0.103463735727842	0.00151926903078915	0	0	0	0	0.00151926903078915	0.00151926903078915	20	0	8.93	12.454647256439	111.22
-13278020#0	948.208543362134	6.43516622664576	2.69555922902606	1.16952205437894	0.252160443469616	0.170301431421189	0.000281664569051664	0	0	0.056256	0	0.000281664569051664	0.0565376645690517	223	0	12.68	1.84858044164038	23.44
-13278020#1	1443.98165776179	9.83452446099342	4.09216874589499	1.7835190945855	0.383124965573651	0.258282671841909	0.000429318807001252	0	0	0.085752	0	0.000429318807001252	0.0861813188070013	223	0	12.73	2.80675569520817	35.73
-13278020#2	825.348259379922	5.5699563524472	2.35769826872739	1.01570887483396	0.220280843182946	0.149200541255239	0.000244822773085874	0	0	0.048888	0	0.000244822773085874	0.0491328227730859	223	0	12.6	1.61666666666667	20.37
-13278020#3	448.514382430131	2.89170001357824	1.32688777690713	0.541946962395381	0.123070310136539	0.0853594211915033	0.000131610816100238	0	0	0.026112	0	0.000131610816100238	0.0262436108161002	223	0	11.92	0.912751677852349	10.88
-13278020#4	552.246003874543	3.32566892953974	1.69967165679684	0.648520803729793	0.156907531575814	0.112993037589975	0.000159874019238361	0	0	0.030744	0	0.000159874019238361	0.0309038740192384	223	0	10.73	1.19384902143523	12.81
-13278020#5	1212.35584446881	7.2825344271	3.60042285144457	1.29724717071731	0.271236231804889	0.22101162166889	0.000363577317389524	0	0	0.0354	0	0.000363577317389524	0.0357635773173895	225	0	2.12	6.95754716981132	14.75
-13278020#6	1549.07894664598	9.0625501791648	4.69206185738621	1.66663020042624	0.37076970423916	0.301091233643577	0.000453422781033345	0	0	0.048792	0	0.000453422781033345	0.0492454227810333	228	0	3.16	6.43354430379747	20.33
-13278020#7	1058.36639590948	6.1585581424896	3.30533756336209	1.22330429447814	0.304588194744357	0.224073222971146	0.000298172825695158	0	0	0.055488	0	0.000298172825695158	0.0557861728256952	228	0	9.96	2.32128514056225	23.12
-13278020#8	44.1567123358594	0.265387664808	0.1360311363637	0.051809318635748	0.0125568181838215	0.00905303671731376	1.24987853947258e-05	0	0	0.0024	0	1.24987853947258e-05	0.00241249878539473	228	0	10.69	0.0935453695042095	1
-13278159#0	1709.82010665557	10.2654060734988	5.07992702475185	1.82973097754407	0.383063070687607	0.31211962532193	0.000854424692114555	0	0	0.083352	0	0.000854424692114555	0.0842064246921145	135	25	2.14	16.2289719626168	34.73
-13278159#1	451.20794608042	2.591313773184	1.41563293696864	0.518034981489684	0.130289705989403	0.0967318677096343	0.00021439063310165	0	0	0.039168	0	0.00021439063310165	0.0393823906331017	135	25	9.6	1.7	16.32
-13714843#0	195.272315414131	1.3871595309075	0.530996518658395	0.245269292183492	0.0503579693411416	0.0332287686471184	0.00029094509724365	0	0	0.02415	0	0.00029094509724365	0.0244409450972436	45	0	13.31	1.81442524417731	24.15
-13714843#1	1521.2237889441	10.71889056252	4.17236811704323	1.90453118423046	0.39452433008209	0.261401531759602	0.00226149580680135	0	0	0	0	0.00226149580680135	0.00226149580680135	45	0	13.2	14.2348484848485	187.9
-13714843#2	1546.39218027686	10.73806645338	4.30419360793544	1.92479804745624	0.405070929673402	0.270390650184429	0.0022899023469133	0	0	0	0	0.0022899023469133	0.0022899023469133	45	0	13	14.6530769230769	190.49
-13714843#3	1986.43303301924	11.5048925754262	6.05763331098015	2.14219671407303	0.487287149842525	0.394852638124749	0.0018589516042726	0	0	0	0	0.0018589516042726	0.0018589516042726	71	0	3.58	24.2374301675978	86.77
-13715172	2264.21568505033	14.579380481652	6.70433660797356	2.73447133602217	0.621745751960768	0.431523078962455	0.00352666992508086	0	0	0	0.128694986949769	0.00352666992508086	0.13222165687485	42	0	11.9	24.4915966386555	291.45
-13715172.291	558.634748693404	3.4749519141456	1.60629723411484	0.59382251756816	0.113156297276241	0.092210844805035	0.000909990499824439	0	0	0	1.15303270662496	0.000909990499824439	1.15394269712479	42	0	0.8	40.6625	32.53
-13797599#0	378.176972969337	2.4273649364523	1.12219455796612	0.456132430219257	0.104034199802844	0.0723264658538347	0.000602978503013459	5.52080462262832e-05	0.0215836952890077	0	0	0.000658186549239742	0.0222418818382474	41	0	11.85	4.20168776371308	49.79
-13797599#1	3258.4744978389	17.9699005404555	10.2760175021015	3.60379783036642	0.91735159975751	0.718322646516814	0.003233658214464	0.000329101626963135	0.0248261327713383	0	0	0.00356275984142713	0.0283888926127654	65	0	6.91	29.5383502170767	204.11
-13797599#10	72.5818336068551	0.50437051404	0.201879979482157	0.090368898155873	0.0190032075435635	0.0126802274059741	0.000120937600476565	0	0	0.024144	0	0.000120937600476565	0.0242649376004766	40	0	13.01	0.773251345119139	10.06
-13797599#2	757.821427967939	4.46993391365598	2.28216358939489	0.813879131130005	0.177720799289349	0.144521806000358	0.00103573803753559	0	0	0	0	0.00103573803753559	0.00103573803753559	49	0	2.83	15.8975265017668	44.99
-13797599#3	599.738187225447	3.8642085204387	1.77504784798667	0.724485389678793	0.164625816957496	0.11422014393956	0.000800799342146498	0	0	0	0	0.000800799342146498	0.000800799342146498	49	0	11.91	5.55751469353484	66.19
-13797599#4	642.350096284265	3.931456249476	1.87689216327102	0.684881916552148	0.136494891798873	0.111292975112812	0.0010917262401664	0	0	0	0	0.0010917262401664	0.0010917262401664	40	0	1.41	29.3404255319149	41.37
-13797599#5	537.630794032025	3.722475086784	1.50062103350908	0.6684186781201	0.141104545124517	0.0943284048090816	0.000894955626077845	0	0	0	0	0.000894955626077845	0.000894955626077845	40	0	12.96	5.74537037037037	74.46
-13797599#6	925.935746804637	6.457772947248	2.5662139764641	1.15451892811301	0.241830471742982	0.161067323767144	0.00154431123087416	0	0	0	0	0.00154431123087416	0.00154431123087416	40	0	13.06	9.83384379785605	128.43
-13797599#7	422.919942878648	2.934604239504	1.17797450246806	0.526257459009219	0.110836196705728	0.0740120742533513	0.00070440854155525	0	0	0	0	0.00070440854155525	0.00070440854155525	40	0	12.99	4.51116243264049	58.6
