junction	edge
126617427	:126617427_0
126617427	:126617427_0
126617428	:126617428_0
126617428	:126617428_9
126617428	:126617428_2
126617428	:126617428_3
126617428	:126617428_4
126617428	:126617428_5
126617428	:126617428_5
126617428	:126617428_5
126617428	:126617428_8
126617430	:126617430_0
126617430	:126617430_0
126617430	:126617430_2
126617430	:126617430_3
126617430	:126617430_4
126617430	:126617430_5
126617430	:126617430_5
126617430	:126617430_5
126617431	:126617431_0
126617431	:126617431_1
126617431	:126617431_2
126617431	:126617431_2
126617431	:126617431_2
126617431	:126617431_5
126617433	:126617433_0
126617433	:126617433_1
126617433	:126617433_2
126617433	:126617433_2
126617433	:126617433_2
126634476	:126634476_0
126634476	:126634476_0
126634476	:126634476_0
126634476	:126634476_3
126634476	:126634476_4
126634476	:126634476_5
126638962	:126638962_0
126638962	:126638962_1
126638962	:126638962_1
126638962	:126638962_1
126646458	:126646458_0
126646458	:126646458_0
126646458	:126646458_2
126647309	:126647309_0
126647309	:126647309_0
1274830098	:1274830098_0
1274830098	:1274830098_0
1274830098	:1274830098_8
1274830098	:1274830098_3
1274830098	:1274830098_4
1274830098	:1274830098_5
1274830098	:1274830098_6
1274830098	:1274830098_7
1277601207	:1277601207_0
1277601207	:1277601207_1
1277601207	:1277601207_2
1277601207	:1277601207_3
1278184335	:1278184335_0
1278184335	:1278184335_0
1278184335	:1278184335_2
1278184346	:1278184346_0
1278184346	:1278184346_1
1278184346	:1278184346_2
1278184350	:1278184350_0
1278184350	:1278184350_1
128560274	:128560274_0
128560274	:128560274_4
128560274	:128560274_2
128560274	:128560274_3
128560275	:128560275_0
128560275	:128560275_0
128560426	:128560426_0
128560426	:128560426_1
128560426	:128560426_1
128560429	:128560429_0
128560429	:128560429_0
128560429	:128560429_2
128560437	:128560437_0
128560437	:128560437_4
128560437	:128560437_2
128560437	:128560437_3
128560439	:128560439_0
128560439	:128560439_1
128560446	:128560446_0
128560446	:128560446_1
128560448	:128560448_0
128560448	:128560448_5
128560448	:128560448_2
128560448	:128560448_2
128560448	:128560448_6
128566335	:128566335_0
