carid	cost_co	cost_co2	cost_hc	cost_PMx	cost_nox	cost_fuel	length	ttime
547	66453.2835887004	1833835.0226702122	345.6036139126481	38.420913544521824	791.149460104475	788.3104959162941	3655.7631547619053	749.3962504344535
548	20928.9391959957	668655.7084062921	110.95614710577921	13.382077145873707	284.5810626920445	287.4330808841018	1636.260309523809	276.4116209270669
549	14039.861405136391	546076.7501981795	76.62848868738901	9.969689103793453	224.79448868051784	234.73942292395864	1962.2123928571427	252.7331830657593
550	66453.2835887004	1833835.0226702122	345.6036139126481	38.420913544521824	791.149460104475	788.3104959162941	3655.7631547619053	749.3962504344535
551	122067.9918641578	2837146.352401036	622.2669465818601	61.76832706243958	1239.982720964183	1219.6166695634572	4531.677093073593	1227.9487107963312
552	65659.36670503179	1989204.060981092	345.5399432170047	40.22619575297479	848.2714457936172	855.095743431663	4707.952988095237	831.9157555290252
553	66438.74478858818	1880065.685898777	346.66875351160127	39.281324104838646	809.619128600812	808.1824724103204	3831.922654761905	755.9518917847855
554	66453.2835887004	1833835.0226702122	345.6036139126481	38.420913544521824	791.149460104475	788.3104959162941	3655.7631547619053	749.3962504344535
555	47249.681133341175	1126738.8995054613	241.60726183278467	24.76587144808169	494.47565531357253	484.3547828988454	1598.7748809523814	468.7328170353537
556	69827.9166551958	2080879.470159253	366.72075412874403	42.606858055826336	890.351364568391	894.504306857183	4695.855238095238	850.1171542276227
557	122642.1854330015	2793310.0770982765	623.8775181301951	61.31039715499335	1224.1309059087707	1200.7739112337222	4182.763759740259	1203.9185611605849
558	119160.08282914964	2693976.8148454763	605.7885727488608	59.77890514982117	1185.1195042770407	1158.0727701306744	3620.248273809524	1124.4461467046585
559	20928.9391959957	668655.7084062921	110.95614710577921	13.382077145873707	284.5810626920445	287.4330808841018	1636.260309523809	276.4116209270669
560	47249.681133341175	1126738.8995054613	241.60726183278467	24.76587144808169	494.47565531357253	484.3547828988454	1598.7748809523814	468.7328170353537
