link	cost_co2	cost_co	cost_nox	cost_vocs	cost_pm10	cost_pm25	cost_ghg	cost_nox	cost_noise	cost_tc	cost_rc	cost_emissions_indicator	cost_eco_indicator	totalvehicles	totalrouting	avgspeed	ttime	length
-128363658#4	465.42651257195	2.72577667785696	1.44997354619145	0.53964479248164	0.133674108658288	0.0979225340114125	0.000767194392145443	0	0	0	0	0.000767194392145443	0.000767194392145443	39	11	10.12	5.92292490118577	59.94
-128363658#5	570.136021560483	3.21569077665888	1.76796460786348	0.61969059533877	0.149163858284621	0.119748782056293	0.000959078775588409	0	0	0	0	0.000959078775588409	0.000959078775588409	39	11	4.84	10.4173553719008	50.42
-128823190#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
-128825640#0	189.634246270714	1.0495194311916	0.599662720699021	0.212049220069948	0.0544016249649634	0.0419197874036339	0.000608695372220295	0	0	0	0	0.000608695372220295	0.000608695372220295	20	0	7.87	5.26429479034308	41.43
-128825640#1	514.543154076644	2.8440566601024	1.62683166179692	0.57428723143875	0.147277474604014	0.113794735917823	0.00165255070563049	0	0	0	0	0.00165255070563049	0.00165255070563049	20	0	7.72	14.4067357512953	111.22
-13278020#0	955.082505837094	6.523287536484	2.69978631405883	1.18099542936257	0.252939014157593	0.170270484614506	0.000281641608078179	0	0	0.056256	0	0.000281641608078179	0.0565376416080782	225	0	12.77	1.83555207517619	23.44
-13278020#1	1454.79938113309	9.9647700794325	4.10175272029903	1.80095739659966	0.384562386925877	0.258498073287908	0.000429316330307597	0	0	0.085752	0	0.000429316330307597	0.0861813163303076	225	0	12.81	2.78922716627635	35.73
-13278020#2	831.903294635204	5.6339230756725	2.36927813122098	1.02520763753955	0.221532216423095	0.149778248439339	0.000244789014567676	0	0	0.048888	0	0.000244789014567676	0.0491327890145677	225	0	12.65	1.6102766798419	20.37
-13278020#3	453.643995110179	2.909914530048	1.3467054978339	0.547015335154134	0.124839444638758	0.0868197363495113	0.000131784018674007	0	0	0.026112	0	0.000131784018674007	0.026243784018674	225	0	11.84	0.918918918918919	10.88
-13278020#4	560.512236024115	3.35400030882	1.73026663190977	0.656371451967638	0.159687592165415	0.115429283504159	0.000160655821935155	0	0	0.030744	0	0.000160655821935155	0.0309046558219352	225	0	10.6	1.20849056603774	12.81
