link	cost_co2	cost_co	cost_nox	cost_vocs	cost_pm10	cost_pm25	cost_ghg	cost_nox	cost_noise	cost_tc	cost_rc	cost_emissions_indicator	cost_eco_indicator	totalvehicles	totalrouting	avgspeed	ttime	length
-128245297	4296.39480514201	28.0998750996254	12.581705725808	5.22147110268892	1.16907847116737	0.804783312492169	0.00193191548668603	5.82818089828271e-05	0.00469600300243948	0	0.0673576183826836	0.00199019729566886	0.0740438186807919	146	45	12.14	13.1952224052718	160.19
-128245298#0	157.878288214733	1.096298579376	0.439434916725962	0.196511483158848	0.0413555537838643	0.0276054247718346	7.3569228637248e-05	0	0	0.014688	0	7.3569228637248e-05	0.0147615692286372	143	45	13	0.470769230769231	6.12
-128245298#1	485.832892913782	3.37115165941554	1.35320826068717	0.604542746288197	0.127324026667042	0.0850220018008774	0.00022634834193661	0	0	0.045192	0	0.00022634834193661	0.0454183483419366	143	45	12.99	1.4495765973826	18.83
-128363658#0	188.426763143929	1.2906448792125	0.531262247101579	0.233261422298025	0.0498088236323748	0.0334808743117871	0.000500448507061613	0	0	0	0	0.000500448507061613	0.000500448507061613	25	11	12.81	3.25136612021858	41.65
-128363658#1	269.086338489466	1.845766603275	0.757686991484201	0.33330293530742	0.0710635629494434	0.0477331733696389	0.000714938653036769	0	0	0	0	0.000714938653036769	0.000714938653036769	25	11	12.83	4.63756819953235	59.5
-128363658#2	119.100869008454	0.817543669896	0.335140741623285	0.147565950923363	0.0314387587379689	0.0211095984219324	0.00031649911457439	0	0	0	0	0.00031649911457439	0.00031649911457439	25	11	12.84	2.05140186915888	26.34
-128363658#3	1456.66602706193	9.99898740866881	4.09894685631833	1.80480889224994	0.384512490696817	0.258181448398723	0.00312173386356972	0	0	0	0	0.00312173386356972	0.00312173386356972	31	11	12.84	20.2336448598131	259.8
-128363658#4	362.366864976493	2.16213374052144	1.12006066639278	0.423794679152667	0.103358114797672	0.0748402199857298	0.000753498246208327	0	0	0	0	0.000753498246208327	0.000753498246208327	31	11	10.54	5.68690702087287	59.94
-128363658#5	461.197898461941	2.61150991197996	1.42666765061827	0.500575461859016	0.119492776950013	0.0961061019709711	0.000978027005136177	0	0	0	0	0.000978027005136177	0.000978027005136177	31	11	4.63	10.889848812095	50.42
-128823190#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
-128825640#0	187.386379790087	1.0389501327456	0.592582876351851	0.209995979247376	0.0538775413206231	0.0413845473040978	0.000601139904344289	0	0	0	0	0.000601139904344289	0.000601139904344289	20	0	8.04	5.15298507462687	41.43
-128825640#1	476.609525387678	2.679643412868	1.50420033000064	0.540352590519714	0.137856438559901	0.104155184614064	0.0015269619353288	0	0	0	0	0.0015269619353288	0.0015269619353288	20	0	8.85	12.5672316384181	111.22
-13278020#0	942.521320287947	6.432916185792	2.66598237638104	1.16513308133861	0.249728305726838	0.168170302865079	0.000281642072079063	0	0	0.056256	0	0.000281642072079063	0.0565376420720791	222	0	12.76	1.83699059561129	23.44
-13278020#1	1435.91564764122	9.82139694306876	4.0537664579116	1.77657087506942	0.379926128466269	0.255567962061697	0.000429312177106021	0	0	0.085752	0	0.000429312177106021	0.086181312177106	222	0	12.79	2.79358874120407	35.73
-13278020#2	820.485203524804	5.56442645990364	2.33390387763069	1.01170369749641	0.218293751801666	0.147482197550507	0.000244778685397499	0	0	0.048888	0	0.000244778685397499	0.0491327786853975	222	0	12.67	1.60773480662983	20.37
-13278020#3	447.59540850871	2.87111566964736	1.32874942452945	0.539721797352079	0.123174918710241	0.0856621398648511	0.000131784018674007	0	0	0.026112	0	0.000131784018674007	0.026243784018674	222	0	11.84	0.918918918918919	10.88
-13278020#4	552.527576462131	3.30941605729392	1.70486098956387	0.647300005607752	0.157349548403731	0.113673804116518	0.000160532407759049	0	0	0.030744	0	0.000160532407759049	0.030904532407759	222	0	10.62	1.20621468926554	12.81
-13278020#5	1221.52040194103	7.364522985792	3.61673097034834	1.30612589912242	0.27061993170962	0.220561874024216	0.000368507043505417	0	0	0.0354	0	0.000368507043505417	0.0357685070435054	224	0	1.98	7.44949494949495	14.75
-13278020#6	1476.67178400117	8.53461900180366	4.50928023600504	1.59328737470259	0.364079761172609	0.294861685252086	0.000431821361297565	0	0	0.048792	0	0.000431821361297565	0.0492238213612976	227	0	3.67	5.53950953678474	20.33
-13278020#7	1074.09103637663	6.18774052850496	3.36641467602424	1.23519173591992	0.309940498839616	0.229595271361998	0.000302270720354499	0	0	0.055488	0	0.000302270720354499	0.0557902707203545	228	0	9.69	2.3859649122807	23.12
-13278020#8	44.3187244296476	0.26532285444	0.136778870561524	0.0519093147288825	0.0126236906509121	0.00912234074306298	1.25366098566394e-05	0	0	0.0024	0	1.25366098566394e-05	0.00241253660985664	228	0	10.61	0.0942507068803016	1
-13278159#0	1693.79050591723	10.1400839169975	5.04385775735262	1.81359526248522	0.382353368447304	0.311469845780175	0.000845427894395988	0	0	0.083352	0	0.000845427894395988	0.084197427894396	135	25	2.25	15.4355555555556	34.73
-13278159#1	441.881224031929	2.5732932011136	1.37961520156161	0.510942111405172	0.127139457099198	0.0934823172139316	0.000210271202605558	0	0	0.039168	0	0.000210271202605558	0.0393782712026056	135	25	9.98	1.63527054108216	16.32
-13714843#0	195.314148705339	1.3854027517155	0.531957403650171	0.245176852844343	0.0504209378485255	0.0332952868180473	0.000290888529072602	0	0	0.02415	0	0.000290888529072602	0.0244408885290726	45	0	13.29	1.81715575620767	24.15
-13714843#1	1521.40984151653	10.712315109123	4.17606647134367	1.90420545154252	0.394773013299969	0.261663960602497	0.00226131966179938	0	0	0	0	0.00226131966179938	0.00226131966179938	45	0	13.19	14.2456406368461	187.9
-13714843#2	1546.86168835369	10.7257591154484	4.31155092288056	1.92427111332606	0.405589321712275	0.270936643092433	0.00228971906363473	0	0	0	0	0.00228971906363473	0.00228971906363473	45	0	12.98	14.675654853621	190.49
-13714843#3	1969.60628893883	11.3809706983762	6.01544749783623	2.12527276732854	0.485886343172476	0.393487160108496	0.00184128915241986	0	0	0	0	0.00184128915241986	0.00184128915241986	71	0	3.68	23.5788043478261	86.77
-13715172	2316.03481079364	14.9417130609603	6.84875245727989	2.79922696465175	0.635275573038864	0.44046720428785	0.00352499816371307	0.00032066725129318	0.033896145269194	0	0.125702080276518	0.00384566541500625	0.163443890960719	43	0	11.93	24.4300083822297	291.45
