edgeid	co2 (g)	co (g)	nox (g)	vocs (g)	pm10 (g)	pm25 (g)	ghg_cost (€/veh)	nox_cost (€/veh)	noise_cost (€/veh)	tc_cost (€/veh)	rc_cost (€/veh)	emissions_indicator (€/veh)	eco_indicator (€/veh)	totalvehicles	totalrouting	speed (km/h)	ttime (s)	length (km)
692250277#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001
692250277#1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001
693367864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05399
697489268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001
697489270	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001
697598025	1589.19197923142	8.76586026979656	5.00950078325323	1.75599576478118	0.44638165070582	0.350007233062664	0.000206377135629039	2.11674515749133e-06	0.000385647216633132	0.031032	0	0.00020849388078653	0.0316261410974197	497	88	24.552	1.89589442815249	0.01293
697598026	907.023432332183	5.33899805970528	2.81996616415877	1.05419164521544	0.26005145058102	0.189882273999646	0.000123099878585041	1.23801675611583e-06	0.000432055950523091	0.023208	0	0.000124337895341157	0.0237643938458642	474	88	36.864	0.9443359375	0.00967
701396897#0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001
704509573#0	4022.70537901836	22.4409405684658	12.5617256127355	4.39405498550758	1.08312282250793	0.863627062634345	0.00164943028922271	0	0	0.09229	0	0.00164943028922271	0.0939394302892227	159	0	19.872	16.7192028985507	0.09229
704509573#1	2321.96572376304	15.6481559825791	6.64082602285202	2.85591862599534	0.620271936949079	0.420424174308152	0.00107371173950582	0	0	0.08933	0	0.00107371173950582	0.0904037117395058	143	0	45.288	7.10095389507154	0.08933
704509573#10	812.210719352886	5.6563706029752	2.25426979910314	1.01213154144278	0.212337994518052	0.141529147827374	0.000401217763291913	0	0	0.080088	0	0.000401217763291913	0.0804892177632919	135	0	46.944	2.5590490797546	0.03337
